CASEID,adp_010,cip_10,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65,eduf10,eduf5,edum10,edum5,edupr10,edupr5,eor_01a,eor_01b,eor_01c,eor_02,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25,totvic
30877,6,1,994,994,994,6,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7, 2,1, 2,1,6,6,6,6,2,2,1,1,1,2,1,1,5,4, 6,3,0
30878,6,1,994,994,994,4,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 7,3,6,6,6,6,1,2,1,1,1,1,1,1,5,4, 4,1,0
30879,6,1,994,994,994,5,1,"59",5,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 9,5, 2,1,6,6,6,6,2,2,1,1,1,1,1,1,5,5, 5,3,0
30880,6,1,994,994,994,7,1,"10",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 2,1,6,6,6,6,2,2,1,1,1,1,1,1,5,4, 6,4,0
30881,3,2,994,994,994,6,2,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,96,6,6,6,6,6,7,2,7,1,7,7,7,7,8,8, 6,8,0
30882,6,1,994,994,994,5,2,"46",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,2,2,1,1,1,1,1,1,5,3, 6,2,0
30883,3,1,994,994,994,7,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,96,6,6,6,6,6,2,2,1,1,7,1,1,1,5,4, 6,4,0
30884,6,2,994,994,994,3,2,"12",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5, 9,5,10,5,6,6,6,6,4,1,2,2,1,7,1,2,5,3, 5,3,0
30885,6,1,994,994,994,7,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 8,4,6,6,6,6,1,2,1,1,1,7,1,1,5,5, 6,1,0
30886,2,2,994,610,610,2,1,"59",5,1,1,2,7,7,2,1,2,2,2,2,2,1,7,2,2,2,2,2,7, 8,4, 8,4, 2,1,6,6,6,6,3,1,3,2,2,3,2,7,5,2, 3,1,1
30887,2,2,994,609,609,2,1,"47",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,2,1,1,1,1,2,1,5,3, 5,2,1
30888,6,1,994,994,994,7,1,"13",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 9,5,6,6,6,6,1,2,1,1,1,1,1,1,5,5, 6,7,0
30889,2,2,994,994,994,3,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 2,1,96,6,6,6,6,6,2,2,1,7,7,2,2,1,5,4, 4,2,0
30890,6,2,994,994,994,3,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 2,1, 2,1,6,6,6,6,2,2,1,1,1,1,1,2,5,3, 3,2,0
30891,3,2,994,994,994,7,1,"24",2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,2,1,1,1,1,1,2,3,3, 6,3,0
