CASEID,cip_10,agegr10,luc_rst,prv,region,sex,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25
17990,3,5,3,"11",1,1,3,2,2,2,2,3,3,3,5,3, 3,2
17991,1,5,1,"12",1,2,2,2,1,1,1,1,1,2,4,3, 6,3
17992,2,5,2,"10",1,2,2,2,2,7,1,1,1,1,5,5, 5,3
17993,1,6,1,"47",4,2,1,2,1,1,1,1,7,1,5,5, 6,1
17994,1,7,2,"12",1,2,7,2,1,1,1,1,1,1,5,5, 6,3
17995,1,4,2,"12",1,2,3,1,1,7,1,7,1,3,4,3, 2,1
17996,1,2,1,"59",5,2,2,2,2,2,1,2,2,2,5,3, 5,1
17997,2,5,2,"24",2,2,2,2,1,1,1,1,1,1,5,5, 5,4
17998,2,5,1,"13",1,2,3,2,1,1,1,2,2,1,5,3, 3,1
17999,1,7,1,"35",3,2,7,2,1,7,1,7,1,1,5,5, 6,5
18000,1,3,1,"24",2,1,2,2,1,1,2,1,1,1,5,4, 3,1
18001,1,2,3,"11",1,1,2,1,1,1,1,1,1,1,5,5, 5,3
18002,1,6,2,"12",1,1,1,1,1,1,1,2,1,1,5,5, 6,1
18003,1,4,1,"35",3,1,1,2,1,7,1,1,1,1,5,4, 3,3
18004,1,6,1,"24",2,2,2,2,1,7,1,7,1,7,5,5, 6,1
18005,1,4,2,"47",4,1,2,2,1,1,1,1,1,1,5,5, 6,1
18006,1,6,1,"35",3,1,3,1,1,1,1,1,1,1,8,4, 6,3
18007,2,5,2,"24",2,1,2,1,2,1,2,1,1,1,5,5, 5,3
18008,1,3,1,"12",1,2,2,2,1,1,1,1,1,1,5,5, 3,2
18009,1,1,1,"35",3,1,2,2,1,2,1,1,1,1,5,3, 3,3
18010,1,3,1,"48",4,2,2,2,1,1,1,1,1,1,5,5, 5,1
18011,2,5,2,"35",3,1,3,1,2,2,1,1,2,1,5,3, 4,5
18012,2,1,1,"10",1,1,2,2,2,1,2,2,2,2,5,3, 3,2
18013,2,5,1,"10",1,2,4,2,1,1,1,1,1,1,5,5, 5,4
18014,1,6,1,"35",3,2,2,2,1,7,1,1,7,1,5,5, 6,2
18015,2,2,2,"35",3,1,2,2,2,2,2,2,2,2,5,4, 4,3
18016,1,7,1,"47",4,1,3,2,2,2,2,2,7,2,5,5, 6,3
18017,2,3,1,"10",1,2,2,2,1,1,1,1,1,1,5,4,97,2
18018,2,6,1,"10",1,2,2,2,1,7,1,1,1,1,5,3, 6,2
18019,2,7,1,"59",5,2,3,2,1,1,1,7,1,1,5,5, 6,4
18020,1,2,1,"35",3,2,1,2,1,1,1,1,1,1,5,3, 6,1
18021,2,5,1,"10",1,2,2,1,2,7,7,1,1,7,5,5, 6,2
