CASEID,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65
  145,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  146,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  147,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  148,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  149,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  150,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  151,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2
  152,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  153,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  154,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  155,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  156,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  157,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  158,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  159,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  160,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  161,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  162,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  163,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  164,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  165,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  166,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  167,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  168,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  169,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,3,2
  170,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  171,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  172,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2
  173,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,3,1
  174,1,1,2,2,2,2,2,2,2,2,2,1,7,2,2,2,2,2,7
  175,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  176,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1
  177,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  178,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  179,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  180,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  181,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  182,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  183,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  184,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  185,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  186,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1
  187,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  188,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  189,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  190,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  191,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  192,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  193,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  194,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  195,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  196,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  197,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  198,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  199,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  200,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2
  201,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  202,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  203,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  204,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  205,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  206,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  207,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  208,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  209,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  210,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  211,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  212,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  213,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  214,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  215,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  216,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  217,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  218,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  219,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
